prioridade_ml_hibrida;score_hibrido;probabilidade_ml;score;valor_ponderado_hibrido;prioridade;valor_ponderado;valor_potencial;id_oportunidade;etapa;vendedor;gerente;regional;conta;setor;produto;idade_dias;justificativa;riscos_principais;proxima_acao
B - Trabalhar nesta semana;70,1;0,780678884233447;63,6;3842,88;B - Trabalhar nesta semana;3486,55;5482;OP-08117;Em negociação;Gabriela Teixeira;Amanda Azevedo;Leste;Ypê Logística Ltda.;saúde;Solução Atlas Plus Profissional;127,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;69,7;0,710090600126674;68,6;763,91;A - Focar hoje;751,86;1096;OP-08476;Em negociação;Vanessa Pereira;Gustavo Ferreira;Oeste;Habitat Consultoria Ltda.;serviços;Solução Atlas Plus Essencial;39,0;já está em negociação, portanto está mais avançada no funil;sem risco crítico identificado nos campos disponíveis;Priorizar hoje: confirmar decisor, objeções, proposta e próxima data de fechamento.
B - Trabalhar nesta semana;69,7;0,7995299862945201;61,3;38,34;B - Trabalhar nesta semana;33,72;55;OP-06539;Em negociação;Juliana Esteves;Caio Galvão;Oeste;Domínio Saúde Ltda.;varejo;Módulo Horizonte Especial;137,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;69,4;0,7209150786741214;67,2;2354,74;B - Trabalhar nesta semana;2280,1;3393;OP-06053;Em negociação;Juliana Esteves;Caio Galvão;Oeste;Oceânica Digital Ltda.;entretenimento;Módulo Horizonte Avançado;82,0;"já está em negociação, portanto está mais avançada no funil; conta com histórico favorável no CRM (70% vs média 63%)";sem risco crítico identificado nos campos disponíveis;Trabalhar nesta semana: agendar follow-up objetivo com próximo passo registrado.
B - Trabalhar nesta semana;69,0;0,6825379805958414;69,6;3326,49;A - Focar hoje;3355,42;4821;OP-03238;Em negociação;Vanessa Pereira;Gustavo Ferreira;Oeste;Dínamo Digital Ltda.;serviços;Solução Atlas Profissional;38,0;"já está em negociação, portanto está mais avançada no funil; conta com histórico favorável no CRM (70% vs média 63%); valor potencial relevante sem dominar sozinho o score";sem risco crítico identificado nos campos disponíveis;Priorizar hoje: confirmar decisor, objeções, proposta e próxima data de fechamento.
B - Trabalhar nesta semana;69,0;0,7567723047882117;63,5;3326,49;B - Trabalhar nesta semana;3061,34;4821;OP-00270;Em negociação;Eduarda Nogueira;Fernanda Almeida;Leste;Porto Telecom Ltda.;software;Solução Atlas Profissional;122,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;69,0;0,7580066474851817;63,4;3326,49;B - Trabalhar nesta semana;3056,51;4821;OP-07339;Em negociação;Tatiana Castro;Gustavo Ferreira;Oeste;Safira Software Ltda.;saúde;Solução Atlas Profissional;129,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;68,9;0,7652653678206393;62,6;755,14;B - Trabalhar nesta semana;686,1;1096;OP-00460;Em negociação;Bruno Duarte;Fernanda Almeida;Leste;Safira Software Ltda.;saúde;Solução Atlas Plus Essencial;133,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;68,9;0,7784323259071719;61,6;378,95;B - Trabalhar nesta semana;338,8;550;OP-08408;Em negociação;Tiago Martins;Gustavo Ferreira;Oeste;Ypê Logística Ltda.;saúde;Solução Atlas Essencial;131,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;68,6;0,7344382975450693;64,7;751,86;B - Trabalhar nesta semana;709,11;1096;OP-08352;Em negociação;Nicolas Oliveira;Caio Galvão;Oeste;Oceânica Digital Ltda.;entretenimento;Solução Atlas Plus Essencial;111,0;"já está em negociação, portanto está mais avançada no funil; conta com histórico favorável no CRM (70% vs média 63%)";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;68,6;0,7783150374921801;61,0;37,73;B - Trabalhar nesta semana;33,55;55;OP-00513;Em negociação;Juliana Esteves;Caio Galvão;Oeste;Inova Software Ltda.;financeiro;Módulo Horizonte Especial;133,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;68,6;0,7815350346628532;60,8;37,73;B - Trabalhar nesta semana;33,44;55;OP-00257;Em negociação;Nicolas Oliveira;Caio Galvão;Oeste;Quartzo Participações Ltda.;saúde;Módulo Horizonte Especial;131,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;68,5;0,7014563565877264;67,2;18336,08;B - Trabalhar nesta semana;17988,1;26768;OP-00404;Em negociação;Juliana Esteves;Caio Galvão;Oeste;Atlas Digital Ltda.;saúde;Plataforma Delta 500;96,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";sem risco crítico identificado nos campos disponíveis;Trabalhar nesta semana: agendar follow-up objetivo com próximo passo registrado.
B - Trabalhar nesta semana;68,5;0,7551809735027392;62,8;750,76;B - Trabalhar nesta semana;688,29;1096;OP-04289;Em negociação;Débora Medeiros;Gustavo Ferreira;Oeste;Tropical Saúde Ltda.;software;Solução Atlas Plus Essencial;135,0;"já está em negociação, portanto está mais avançada no funil; histórico do vendedor acima da média (70% vs média 63%)";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;68,4;0,6618663826618373;70,2;3297,56;A - Focar hoje;3384,34;4821;OP-06870;Em negociação;Vanessa Pereira;Gustavo Ferreira;Oeste;Íntegra Comercial Ltda.;tecnologia;Solução Atlas Profissional;15,0;"já está em negociação, portanto está mais avançada no funil; idade da oportunidade ainda compatível com ciclos ganhos; valor potencial relevante sem dominar sozinho o score";sem risco crítico identificado nos campos disponíveis;Priorizar hoje: confirmar decisor, objeções, proposta e próxima data de fechamento.
B - Trabalhar nesta semana;68,4;0,7346537926798868;64,3;2320,81;B - Trabalhar nesta semana;2181,7;3393;OP-02144;Em negociação;Débora Medeiros;Gustavo Ferreira;Oeste;Terranova Telecom Ltda.;marketing;Módulo Horizonte Avançado;106,0;"já está em negociação, portanto está mais avançada no funil; histórico do vendedor acima da média (70% vs média 63%)";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;68,4;0,776219417409827;60,9;37,62;B - Trabalhar nesta semana;33,49;55;OP-07771;Em negociação;Priscila Ramos;Amanda Azevedo;Leste;Gênesis Indústria Ltda.;financeiro;Módulo Horizonte Especial;129,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;68,3;0,6724098436498261;69,2;375,65;A - Focar hoje;380,6;550;OP-04760;Em negociação;Tatiana Castro;Gustavo Ferreira;Oeste;Lumina Comunicação Ltda.;saúde;Solução Atlas Essencial;17,0;"já está em negociação, portanto está mais avançada no funil; idade da oportunidade ainda compatível com ciclos ganhos";sem risco crítico identificado nos campos disponíveis;Priorizar hoje: confirmar decisor, objeções, proposta e próxima data de fechamento.
B - Trabalhar nesta semana;68,2;0,6693784608428395;69,2;3738,72;A - Focar hoje;3793,54;5482;OP-04504;Em negociação;Bruno Duarte;Fernanda Almeida;Leste;Cobalto Financeira Ltda.;tecnologia;Solução Atlas Plus Profissional;56,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";sem risco crítico identificado nos campos disponíveis;Priorizar hoje: confirmar decisor, objeções, proposta e próxima data de fechamento.
B - Trabalhar nesta semana;68,1;0,7441148510668604;63,0;3283,1;B - Trabalhar nesta semana;3037,23;4821;OP-03550;Em negociação;Tiago Martins;Gustavo Ferreira;Oeste;Fênix Sistemas Ltda.;financeiro;Solução Atlas Profissional;123,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;68,0;0,6863896434819133;67,5;3278,28;B - Trabalhar nesta semana;3254,18;4821;OP-01044;Em negociação;Tatiana Castro;Gustavo Ferreira;Oeste;Helix Comercial Ltda.;telecomunicações;Solução Atlas Profissional;67,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";sem risco crítico identificado nos campos disponíveis;Trabalhar nesta semana: agendar follow-up objetivo com próximo passo registrado.
B - Trabalhar nesta semana;68,0;0,7028762925318308;66,1;3278,28;B - Trabalhar nesta semana;3186,68;4821;OP-00396;Em negociação;Renato Vieira;Amanda Azevedo;Leste;Helix Comercial Ltda.;telecomunicações;Solução Atlas Profissional;89,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;67,9;0,7488708820777236;62,2;744,18;B - Trabalhar nesta semana;681,71;1096;OP-03102;Em negociação;Henrique Borges;Fernanda Almeida;Leste;Sinapse Soluções Ltda.;financeiro;Solução Atlas Plus Essencial;130,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;67,9;0,6822322100911972;67,6;37,35;B - Trabalhar nesta semana;37,18;55;OP-01962;Em negociação;Tiago Martins;Gustavo Ferreira;Oeste;Neblina Software Ltda.;software;Módulo Horizonte Especial;47,0;já está em negociação, portanto está mais avançada no funil;sem risco crítico identificado nos campos disponíveis;Trabalhar nesta semana: agendar follow-up objetivo com próximo passo registrado.
B - Trabalhar nesta semana;67,8;0,6672479584101375;68,6;743,09;A - Focar hoje;751,86;1096;OP-06333;Em negociação;Eduarda Nogueira;Fernanda Almeida;Leste;Inova Software Ltda.;financeiro;Solução Atlas Plus Essencial;19,0;"já está em negociação, portanto está mais avançada no funil; idade da oportunidade ainda compatível com ciclos ganhos";sem risco crítico identificado nos campos disponíveis;Priorizar hoje: confirmar decisor, objeções, proposta e próxima data de fechamento.
B - Trabalhar nesta semana;67,8;0,6730783130982155;68,2;372,9;A - Focar hoje;375,1;550;OP-05279;Em negociação;Tatiana Castro;Gustavo Ferreira;Oeste;Pampas Comunicação Ltda.;marketing;Solução Atlas Essencial;35,0;já está em negociação, portanto está mais avançada no funil;sem risco crítico identificado nos campos disponíveis;Priorizar hoje: confirmar decisor, objeções, proposta e próxima data de fechamento.
B - Trabalhar nesta semana;67,8;0,7527818913142708;61,6;37,29;B - Trabalhar nesta semana;33,88;55;OP-02363;Em negociação;Nicolas Oliveira;Caio Galvão;Oeste;Boreal Varejo Ltda.;marketing;Módulo Horizonte Especial;134,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;67,6;0,705995692591443;65,2;3705,83;B - Trabalhar nesta semana;3574,26;5482;OP-01151;Em negociação;Nicolas Oliveira;Caio Galvão;Oeste;Essência Tecnologia Ltda.;telecomunicações;Solução Atlas Plus Profissional;93,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;67,6;0,7429504926135428;62,1;740,9;B - Trabalhar nesta semana;680,62;1096;OP-07400;Em negociação;Henrique Borges;Fernanda Almeida;Leste;Opala Comercial Ltda.;marketing;Solução Atlas Plus Essencial;129,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;67,5;0,7394550820017473;62,2;739,8;B - Trabalhar nesta semana;681,71;1096;OP-08115;Em negociação;Tatiana Castro;Gustavo Ferreira;Oeste;Xingu Comercial Ltda.;saúde;Solução Atlas Plus Essencial;129,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;67,5;0,6822322100911972;66,9;37,12;B - Trabalhar nesta semana;36,8;55;OP-01196;Em negociação;Priscila Ramos;Amanda Azevedo;Leste;Tropical Saúde Ltda.;software;Módulo Horizonte Especial;39,0;já está em negociação, portanto está mais avançada no funil;sem risco crítico identificado nos campos disponíveis;Trabalhar nesta semana: agendar follow-up objetivo com próximo passo registrado.
B - Trabalhar nesta semana;67,5;0,7511033025827066;61,3;37,12;B - Trabalhar nesta semana;33,72;55;OP-04174;Em negociação;Patrícia Campos;Caio Galvão;Oeste;Atena Participações Ltda.;financeiro;Módulo Horizonte Especial;120,0;"já está em negociação, portanto está mais avançada no funil; histórico do vendedor acima da média (70% vs média 63%)";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;67,4;0,6608405401725229;68,5;738,7;A - Focar hoje;750,76;1096;OP-07356;Em negociação;Henrique Borges;Fernanda Almeida;Leste;Vértice Sistemas Ltda.;saúde;Solução Atlas Plus Essencial;17,0;"já está em negociação, portanto está mais avançada no funil; idade da oportunidade ainda compatível com ciclos ganhos";sem risco crítico identificado nos campos disponíveis;Priorizar hoje: confirmar decisor, objeções, proposta e próxima data de fechamento.
B - Trabalhar nesta semana;67,4;0,7063840494333358;64,8;738,7;B - Trabalhar nesta semana;710,21;1096;OP-01472;Em negociação;Juliana Esteves;Caio Galvão;Oeste;Centauro Logística Ltda.;software;Solução Atlas Plus Essencial;103,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;67,4;0,7394550820017473;62,1;738,7;B - Trabalhar nesta semana;680,62;1096;OP-06097;Em negociação;Eduarda Nogueira;Fernanda Almeida;Leste;Koral Logística Ltda.;recursos humanos;Solução Atlas Plus Essencial;127,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;67,4;0,7099276735292129;64,5;370,7;B - Trabalhar nesta semana;354,75;550;OP-00454;Em negociação;Débora Medeiros;Gustavo Ferreira;Oeste;Lumina Comunicação Ltda.;saúde;Solução Atlas Essencial;118,0;"já está em negociação, portanto está mais avançada no funil; histórico do vendedor acima da média (70% vs média 63%)";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;67,2;0,7002229157700649;64,8;3683,9;B - Trabalhar nesta semana;3552,34;5482;OP-00015;Em negociação;Tatiana Castro;Gustavo Ferreira;Oeste;Ônix Sistemas Ltda.;telecomunicações;Solução Atlas Plus Profissional;105,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;67,2;0,6694070958566917;67,5;3239,71;B - Trabalhar nesta semana;3254,18;4821;OP-07114;Em negociação;Vanessa Pereira;Gustavo Ferreira;Oeste;Norte Soluções Ltda.;tecnologia;Solução Atlas Profissional;58,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";sem risco crítico identificado nos campos disponíveis;Trabalhar nesta semana: agendar follow-up objetivo com próximo passo registrado.
B - Trabalhar nesta semana;67,0;0,6637234724997861;67,6;3230,07;B - Trabalhar nesta semana;3259,0;4821;OP-08021;Em negociação;Eduarda Nogueira;Fernanda Almeida;Leste;Pampas Comunicação Ltda.;marketing;Solução Atlas Profissional;58,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";sem risco crítico identificado nos campos disponíveis;Trabalhar nesta semana: agendar follow-up objetivo com próximo passo registrado.
B - Trabalhar nesta semana;66,8;0,6588160289008714;67,5;367,4;B - Trabalhar nesta semana;371,25;550;OP-05520;Em negociação;Henrique Borges;Fernanda Almeida;Leste;Riviera Financeira Ltda.;tecnologia;Solução Atlas Essencial;57,0;já está em negociação, portanto está mais avançada no funil;sem risco crítico identificado nos campos disponíveis;Trabalhar nesta semana: agendar follow-up objetivo com próximo passo registrado.
B - Trabalhar nesta semana;66,7;0,6953882661133665;64,3;2263,13;B - Trabalhar nesta semana;2181,7;3393;OP-00398;Em negociação;Larissa Santos;Caio Galvão;Oeste;Xingu Comercial Ltda.;saúde;Módulo Horizonte Avançado;101,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;66,7;0,7349695822510676;61,1;366,85;B - Trabalhar nesta semana;336,05;550;OP-08191;Em negociação;Vanessa Pereira;Gustavo Ferreira;Oeste;Atena Participações Ltda.;financeiro;Solução Atlas Essencial;123,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;66,6;0,8487701829329171;51,7;3210,79;C - Nutrir / validar;2492,46;4821;OP-03845;Em negociação;Henrique Borges;Fernanda Almeida;Leste;;;Solução Atlas Profissional;137,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";"oportunidade parece fria pelo tempo no pipeline; dado incompleto: conta não informada; dado incompleto: setor não informado";Completar conta e contexto antes de investir tempo comercial relevante.
B - Trabalhar nesta semana;66,6;0,8487701829329171;51,7;3210,79;C - Nutrir / validar;2492,46;4821;OP-05435;Em negociação;Henrique Borges;Fernanda Almeida;Leste;;;Solução Atlas Profissional;137,0;"já está em negociação, portanto está mais avançada no funil; valor potencial relevante sem dominar sozinho o score";"oportunidade parece fria pelo tempo no pipeline; dado incompleto: conta não informada; dado incompleto: setor não informado";Completar conta e contexto antes de investir tempo comercial relevante.
B - Trabalhar nesta semana;66,6;0,706913428856093;63,2;36,63;B - Trabalhar nesta semana;34,76;55;OP-03590;Em negociação;Rafael Ferreira;Gustavo Ferreira;Oeste;Atlas Digital Ltda.;saúde;Módulo Horizonte Especial;98,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;66,5;0,6577857170058422;67,1;728,84;B - Trabalhar nesta semana;735,42;1096;OP-05926;Em negociação;Henrique Borges;Fernanda Almeida;Leste;Horizonte Saúde Ltda.;varejo;Solução Atlas Plus Essencial;48,0;já está em negociação, portanto está mais avançada no funil;sem risco crítico identificado nos campos disponíveis;Trabalhar nesta semana: agendar follow-up objetivo com próximo passo registrado.
B - Trabalhar nesta semana;66,4;0,6386860728375082;68,5;2252,95;A - Focar hoje;2324,2;3393;OP-05048;Em negociação;Amanda Azevedo;Caio Galvão;Oeste;Ypê Logística Ltda.;saúde;Módulo Horizonte Avançado;19,0;"já está em negociação, portanto está mais avançada no funil; idade da oportunidade ainda compatível com ciclos ganhos; valor potencial relevante sem dominar sozinho o score";sem risco crítico identificado nos campos disponíveis;Priorizar hoje: confirmar decisor, objeções, proposta e próxima data de fechamento.
B - Trabalhar nesta semana;66,4;0,6902339119081373;64,2;2252,95;B - Trabalhar nesta semana;2178,31;3393;OP-06380;Em negociação;Bruno Duarte;Fernanda Almeida;Leste;Diamante Financeira Ltda.;varejo;Módulo Horizonte Avançado;103,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;66,4;0,6936661532614937;63,9;727,74;B - Trabalhar nesta semana;700,34;1096;OP-04213;Em negociação;Eduarda Nogueira;Fernanda Almeida;Leste;Aliança Indústria Ltda.;entretenimento;Solução Atlas Plus Essencial;92,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;66,4;0,6815359040259342;64,9;365,2;B - Trabalhar nesta semana;356,95;550;OP-03747;Em negociação;Tatiana Castro;Gustavo Ferreira;Oeste;Paralela Logística Ltda.;saúde;Solução Atlas Essencial;82,0;já está em negociação, portanto está mais avançada no funil;sem risco crítico identificado nos campos disponíveis;Trabalhar nesta semana: agendar follow-up objetivo com próximo passo registrado.
B - Trabalhar nesta semana;66,4;0,8574884345660952;50,6;365,2;C - Nutrir / validar;278,3;550;OP-05167;Em negociação;Eduarda Nogueira;Fernanda Almeida;Leste;;;Solução Atlas Essencial;137,0;já está em negociação, portanto está mais avançada no funil;"oportunidade parece fria pelo tempo no pipeline; dado incompleto: conta não informada; dado incompleto: setor não informado";Completar conta e contexto antes de investir tempo comercial relevante.
B - Trabalhar nesta semana;66,4;0,7061990868561715;63,0;36,52;B - Trabalhar nesta semana;34,65;55;OP-03266;Em negociação;Nicolas Oliveira;Caio Galvão;Oeste;Quantum Sistemas Ltda.;saúde;Módulo Horizonte Especial;103,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;66,3;0,6946385876637551;63,8;364,65;B - Trabalhar nesta semana;350,9;550;OP-03602;Em negociação;Eduarda Nogueira;Fernanda Almeida;Leste;Neblina Software Ltda.;software;Solução Atlas Essencial;92,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
B - Trabalhar nesta semana;66,2;0,6962518709268479;63,4;36,41;B - Trabalhar nesta semana;34,87;55;OP-08289;Em negociação;Juliana Esteves;Caio Galvão;Oeste;Serena Tecnologia Ltda.;software;Módulo Horizonte Especial;113,0;já está em negociação, portanto está mais avançada no funil;oportunidade parece fria pelo tempo no pipeline;Reaquecer: validar se ainda existe dor, orçamento e janela de decisão.
