id_oportunidade;vendedor;produto;conta;etapa_negocio;data_engajamento;data_fechamento;valor_fechamento
OP-02303;Tatiana Castro;Solução Atlas Plus Essencial;Zafira Comunicação Ltda.;Perdida;2016-11-21;2017-03-17;0
OP-01827;Gabriela Teixeira;Módulo Horizonte Especial;Lumina Comunicação Ltda.;Ganha;2016-11-22;2017-03-04;62
OP-02962;Isabela Farias;Solução Atlas Profissional;Helix Comercial Ltda.;Ganha;2016-11-22;2017-03-14;4359
OP-04176;Tiago Martins;Solução Atlas Essencial;Harmonia Participações Ltda.;Ganha;2016-11-22;2017-03-31;566
OP-08782;Caio Dias;Solução Atlas Essencial;Diamante Financeira Ltda.;Ganha;2016-11-22;2017-03-03;508
OP-00690;Leonardo Henriques;Módulo Horizonte Avançado;Gênesis Indústria Ltda.;Perdida;2016-11-22;2017-03-20;0
OP-02583;Mariana Lima;Módulo Horizonte Especial;Pioneira Consultoria Ltda.;Ganha;2016-11-22;2017-03-11;51
OP-02779;Nicolas Oliveira;Solução Atlas Profissional;Centauro Logística Ltda.;Ganha;2016-11-22;2017-03-05;4899
OP-05501;Gabriela Teixeira;Solução Atlas Essencial;Aliança Indústria Ltda.;Em negociação;2016-11-23;;
OP-05438;Gabriela Teixeira;Solução Atlas Plus Profissional;Elo Telecom Ltda.;Ganha;2016-11-23;2017-03-03;5790
OP-05706;João Moreira;Módulo Horizonte Especial;União Indústria Ltda.;Perdida;2016-11-23;2017-03-30;0
OP-04228;Larissa Santos;Módulo Horizonte Avançado;;Em negociação;2016-11-23;;
OP-01203;Otávio Pinto;Solução Atlas Profissional;Pioneira Consultoria Ltda.;Ganha;2016-11-23;2017-03-03;4438
OP-06873;Otávio Pinto;Módulo Horizonte Avançado;Atena Participações Ltda.;Ganha;2016-11-23;2017-03-17;2972
OP-07753;Amanda Azevedo;Módulo Horizonte Especial;Ypê Logística Ltda.;Em negociação;2016-11-23;;
OP-02948;Amanda Azevedo;Solução Atlas Essencial;Koral Logística Ltda.;Ganha;2016-11-23;2017-03-01;523
OP-04325;Ana Almeida;Módulo Horizonte Avançado;Torre Digital Ltda.;Ganha;2016-11-24;2017-03-25;3647
OP-05275;Eduarda Nogueira;Módulo Horizonte Avançado;Farol Saúde Ltda.;Ganha;2016-11-24;2017-03-01;4200
OP-01255;Henrique Borges;Solução Atlas Plus Essencial;Serrana Tecnologia Ltda.;Em negociação;2016-11-24;;
OP-07146;Tiago Martins;Solução Atlas Plus Essencial;Serena Tecnologia Ltda.;Em negociação;2016-11-24;;
OP-07669;Tiago Martins;Solução Atlas Plus Essencial;Solaris Comunicação Ltda.;Ganha;2016-11-24;2017-03-28;1059
OP-02633;Caio Dias;Solução Atlas Plus Essencial;Pioneira Consultoria Ltda.;Perdida;2016-11-24;2017-03-05;0
OP-05936;Mariana Lima;Módulo Horizonte Especial;Alvorada Digital Ltda.;Ganha;2016-11-24;2017-03-02;57
OP-03808;Nicolas Oliveira;Módulo Horizonte Avançado;Valência Consultoria Ltda.;Ganha;2016-11-24;2017-03-27;3671
OP-07383;Ana Almeida;Módulo Horizonte Especial;Essência Tecnologia Ltda.;Ganha;2016-11-25;2017-03-01;58
OP-06243;Felipe Queiroz;Módulo Horizonte Avançado;Essência Tecnologia Ltda.;Ganha;2016-11-25;2017-03-06;3956
OP-04784;Gabriela Teixeira;Solução Atlas Plus Profissional;Atlas Digital Ltda.;Ganha;2016-11-25;2017-03-01;5964
OP-06976;Gabriela Teixeira;Solução Atlas Profissional;Atlas Digital Ltda.;Ganha;2016-11-25;2017-03-06;4570
OP-04912;Isabela Farias;Módulo Horizonte Especial;Mosaico Serviços Ltda.;Ganha;2016-11-25;2017-03-27;49
OP-00159;Priscila Ramos;Módulo Horizonte Especial;Prisma Soluções Ltda.;Ganha;2016-11-25;2017-03-06;65
OP-05016;Ana Almeida;Módulo Horizonte Especial;Mosaico Serviços Ltda.;Perdida;2016-11-26;2017-03-27;0
OP-03229;Isabela Farias;Solução Atlas Profissional;Atena Participações Ltda.;Ganha;2016-11-26;2017-03-08;4739
OP-00043;Helena Menezes;Solução Atlas Plus Essencial;Galáxia Software Ltda.;Ganha;2016-11-26;2017-03-21;1080
OP-01306;Igor Barros;Módulo Horizonte Especial;Imperial Financeira Ltda.;Ganha;2016-11-26;2017-03-12;57
OP-07713;Natália Correia;Solução Atlas Essencial;Valência Consultoria Ltda.;Ganha;2016-11-27;2017-03-16;469
OP-07546;Vanessa Pereira;Solução Atlas Essencial;Safira Software Ltda.;Ganha;2016-11-27;2017-03-03;532
OP-06288;Amanda Azevedo;Módulo Horizonte Avançado;Fênix Sistemas Ltda.;Em negociação;2016-11-27;;
OP-04688;Juliana Esteves;Solução Atlas Essencial;Valência Consultoria Ltda.;Ganha;2016-11-27;2017-03-26;538
OP-02230;Leonardo Henriques;Solução Atlas Profissional;Zênite Serviços Ltda.;Ganha;2016-11-27;2017-03-21;4829
OP-00709;Tatiana Castro;Solução Atlas Plus Profissional;Nativa Varejo Ltda.;Ganha;2016-11-27;2017-03-11;5370
OP-01833;Tatiana Castro;Solução Atlas Plus Profissional;Metrópole Digital Ltda.;Ganha;2016-11-27;2017-03-21;6499
OP-04062;Isabela Farias;Solução Atlas Plus Essencial;Futura Consultoria Ltda.;Ganha;2016-11-28;2017-03-06;1161
OP-05037;Vanessa Pereira;Solução Atlas Essencial;Neblina Software Ltda.;Ganha;2016-11-28;2017-03-26;576
OP-01445;Débora Medeiros;Solução Atlas Plus Essencial;Metrópole Digital Ltda.;Ganha;2016-11-28;2017-03-19;979
OP-08728;Mariana Lima;Módulo Horizonte Especial;Sinapse Soluções Ltda.;Ganha;2016-11-28;2017-03-07;43
OP-05078;Otávio Pinto;Módulo Horizonte Especial;Opala Comercial Ltda.;Ganha;2016-11-29;2017-03-07;57
OP-01862;William Silveira;Módulo Horizonte Especial;Litoral Indústria Ltda.;Perdida;2016-11-29;2017-03-28;0
OP-03875;William Silveira;Solução Atlas Plus Essencial;Cristal Tecnologia Ltda.;Ganha;2016-11-29;2017-03-12;948
OP-05729;Renato Vieira;Módulo Horizonte Avançado;Imperial Financeira Ltda.;Ganha;2016-11-29;2017-03-10;3012
OP-00604;Eduarda Nogueira;Módulo Horizonte Avançado;Porto Telecom Ltda.;Ganha;2016-11-30;2017-03-15;3665
OP-01858;Priscila Ramos;Solução Atlas Essencial;Estrela Indústria Ltda.;Ganha;2016-11-30;2017-03-24;564
OP-00950;Ana Almeida;Solução Atlas Plus Essencial;Rubi Comunicação Ltda.;Perdida;2016-12-01;2017-03-06;0
OP-01871;Eduarda Nogueira;Módulo Horizonte Avançado;Ônix Sistemas Ltda.;Ganha;2016-12-01;2017-03-22;3463
OP-04767;Gabriela Teixeira;Solução Atlas Essencial;Estrela Indústria Ltda.;Ganha;2016-12-01;2017-03-26;513
OP-00980;Gabriela Teixeira;Solução Atlas Essencial;Valência Consultoria Ltda.;Ganha;2016-12-01;2017-03-28;590
OP-06532;Isabela Farias;Solução Atlas Profissional;Alvorada Digital Ltda.;Ganha;2016-12-01;2017-03-30;4511
OP-02638;William Silveira;Módulo Horizonte Avançado;Atena Participações Ltda.;Perdida;2016-12-01;2017-03-02;0
OP-07834;Helena Menezes;Solução Atlas Essencial;Horizonte Saúde Ltda.;Ganha;2016-12-01;2017-03-26;546
OP-06421;Nicolas Oliveira;Módulo Horizonte Especial;Koral Logística Ltda.;Ganha;2016-12-01;2017-03-05;46
OP-02517;Isabela Farias;Solução Atlas Profissional;Litoral Indústria Ltda.;Ganha;2016-12-02;2017-03-09;4891
OP-00181;Patrícia Campos;Solução Atlas Plus Essencial;Ipanema Logística Ltda.;Ganha;2016-12-02;2017-03-03;1040
OP-05974;Patrícia Campos;Solução Atlas Plus Essencial;Raízes Varejo Ltda.;Ganha;2016-12-02;2017-03-04;1108
OP-00171;Patrícia Campos;Módulo Horizonte Especial;Catarina Soluções Ltda.;Ganha;2016-12-02;2017-03-04;59
OP-00507;Sofia Ishikawa;Solução Atlas Profissional;Torre Digital Ltda.;Ganha;2016-12-02;2017-03-30;5406
OP-05654;Vanessa Pereira;Solução Atlas Essencial;Aliança Indústria Ltda.;Ganha;2016-12-02;2017-03-20;515
OP-05333;Fernanda Valente;Solução Atlas Essencial;Essência Tecnologia Ltda.;Ganha;2016-12-02;2017-03-06;583
OP-01610;Mariana Lima;Módulo Horizonte Especial;Cristal Tecnologia Ltda.;Ganha;2016-12-02;2017-03-14;54
OP-00924;Nicolas Oliveira;Módulo Horizonte Especial;Harmonia Participações Ltda.;Ganha;2016-12-02;2017-03-27;60
OP-03108;Tatiana Castro;Solução Atlas Essencial;;Em negociação;2016-12-02;;
OP-08229;Isabela Farias;Solução Atlas Essencial;Alvorada Digital Ltda.;Perdida;2016-12-03;2017-03-12;0
OP-07417;Isabela Farias;Solução Atlas Profissional;Cristal Tecnologia Ltda.;Perdida;2016-12-03;2017-03-19;0
OP-02799;Isabela Farias;Solução Atlas Essencial;Galáxia Software Ltda.;Ganha;2016-12-03;2017-03-23;516
OP-02792;Isabela Farias;Solução Atlas Profissional;Jade Tecnologia Ltda.;Ganha;2016-12-03;2017-03-22;4829
OP-04470;Fernanda Valente;Solução Atlas Plus Essencial;Alvorada Digital Ltda.;Perdida;2016-12-03;2017-03-17;0
OP-05689;Igor Barros;Solução Atlas Plus Essencial;Prisma Soluções Ltda.;Ganha;2016-12-03;2017-03-02;950
OP-04308;Nicolas Oliveira;Solução Atlas Plus Essencial;Inova Software Ltda.;Perdida;2016-12-03;2017-03-09;0
OP-03442;Gabriela Teixeira;Solução Atlas Essencial;Ônix Sistemas Ltda.;Ganha;2016-12-04;2017-03-20;513
OP-00945;Isabela Farias;Solução Atlas Profissional;Safira Software Ltda.;Perdida;2016-12-04;2017-03-09;0
OP-01003;Isabela Farias;Solução Atlas Plus Profissional;Litoral Indústria Ltda.;Ganha;2016-12-04;2017-03-12;5522
OP-02467;Otávio Pinto;Módulo Horizonte Especial;Horizonte Saúde Ltda.;Ganha;2016-12-04;2017-03-09;56
OP-04877;Rafael Ferreira;Solução Atlas Profissional;Nativa Varejo Ltda.;Ganha;2016-12-04;2017-03-08;5673
OP-01903;Tiago Martins;Solução Atlas Essencial;Inova Software Ltda.;Ganha;2016-12-04;2017-03-10;598
OP-08179;Caio Dias;Solução Atlas Plus Profissional;Jade Tecnologia Ltda.;Ganha;2016-12-04;2017-03-16;5787
OP-06930;Débora Medeiros;Solução Atlas Plus Essencial;Quasar Serviços Ltda.;Ganha;2016-12-04;2017-03-08;1070
OP-01688;Bruno Duarte;Módulo Horizonte Avançado;Prisma Soluções Ltda.;Ganha;2016-12-05;2017-03-14;3677
OP-03978;Eduarda Nogueira;Solução Atlas Plus Profissional;Elo Telecom Ltda.;Ganha;2016-12-05;2017-03-30;5425
OP-07484;Henrique Borges;Solução Atlas Plus Profissional;;Em negociação;2016-12-05;;
OP-01693;João Moreira;Módulo Horizonte Avançado;Latitude Serviços Ltda.;Ganha;2016-12-05;2017-03-23;3415
OP-04942;Rafael Ferreira;Solução Atlas Essencial;;Em negociação;2016-12-05;;
OP-06043;Débora Medeiros;Solução Atlas Plus Essencial;Ypê Logística Ltda.;Ganha;2016-12-05;2017-03-21;891
OP-01111;William Silveira;Solução Atlas Essencial;Pioneira Consultoria Ltda.;Ganha;2016-12-06;2017-03-12;609
OP-03559;Amanda Azevedo;Módulo Horizonte Especial;Harmonia Participações Ltda.;Ganha;2016-12-06;2017-03-16;54
OP-01997;Tatiana Castro;Solução Atlas Plus Essencial;Xingu Comercial Ltda.;Ganha;2016-12-06;2017-03-09;1049
OP-00312;Eduarda Nogueira;Solução Atlas Plus Essencial;Estrela Indústria Ltda.;Ganha;2016-12-07;2017-03-07;1152
OP-03391;Henrique Borges;Módulo Horizonte Especial;Imperial Financeira Ltda.;Perdida;2016-12-07;2017-03-20;0
OP-00489;Henrique Borges;Solução Atlas Profissional;Farol Saúde Ltda.;Ganha;2016-12-07;2017-03-28;4799
OP-03521;Otávio Pinto;Módulo Horizonte Especial;Rubi Comunicação Ltda.;Ganha;2016-12-07;2017-03-12;51
OP-01770;Patrícia Campos;Módulo Horizonte Avançado;Serrana Tecnologia Ltda.;Ganha;2016-12-07;2017-03-03;3426
OP-00220;Sofia Ishikawa;Módulo Horizonte Especial;Jade Tecnologia Ltda.;Ganha;2016-12-07;2017-03-11;51
OP-03767;Tiago Martins;Solução Atlas Essencial;Bravura Financeira Ltda.;Ganha;2016-12-07;2017-03-20;564
OP-07401;Felipe Queiroz;Solução Atlas Plus Profissional;Quartzo Participações Ltda.;Ganha;2016-12-08;2017-03-01;5882
OP-04560;Henrique Borges;Solução Atlas Profissional;Sinapse Soluções Ltda.;Em negociação;2016-12-08;;
OP-07584;João Moreira;Solução Atlas Profissional;Imperial Financeira Ltda.;Ganha;2016-12-08;2017-03-20;5059
OP-04552;Rafael Ferreira;Módulo Horizonte Avançado;;Em negociação;2016-12-08;;
OP-05958;Tiago Martins;Solução Atlas Plus Essencial;;Em negociação;2016-12-08;;
OP-02883;Tiago Martins;Módulo Horizonte Avançado;Quasar Serviços Ltda.;Ganha;2016-12-08;2017-03-11;3388
OP-07959;Vanessa Pereira;Solução Atlas Plus Profissional;;Em negociação;2016-12-08;;
OP-03276;Amanda Azevedo;Solução Atlas Plus Profissional;Oceânica Digital Ltda.;Ganha;2016-12-08;2017-03-10;5410
OP-02560;Igor Barros;Solução Atlas Plus Essencial;Montana Varejo Ltda.;Ganha;2016-12-08;2017-03-28;978
OP-03459;Nicolas Oliveira;Módulo Horizonte Especial;Neblina Software Ltda.;Ganha;2016-12-08;2017-03-26;54
OP-07086;Ana Almeida;Módulo Horizonte Especial;Nexa Telecom Ltda.;Perdida;2016-12-09;2017-03-22;0
OP-07683;Eduarda Nogueira;Solução Atlas Essencial;Serena Tecnologia Ltda.;Ganha;2016-12-09;2017-03-14;549
OP-04110;Gabriela Teixeira;Solução Atlas Plus Essencial;Boreal Varejo Ltda.;Ganha;2016-12-09;2017-03-14;1034
OP-02456;João Moreira;Solução Atlas Profissional;Gênesis Indústria Ltda.;Ganha;2016-12-09;2017-03-03;4998
OP-00113;João Moreira;Módulo Horizonte Avançado;Elo Telecom Ltda.;Ganha;2016-12-09;2017-03-28;3421
OP-04387;Vanessa Pereira;Solução Atlas Plus Profissional;Nativa Varejo Ltda.;Ganha;2016-12-09;2017-03-04;5425
OP-08336;Nicolas Oliveira;Módulo Horizonte Especial;Centauro Logística Ltda.;Ganha;2016-12-09;2017-03-15;55
OP-06682;Priscila Ramos;Módulo Horizonte Avançado;Paralela Logística Ltda.;Ganha;2016-12-09;2017-03-14;3558
OP-05632;Eduarda Nogueira;Solução Atlas Profissional;Imperial Financeira Ltda.;Em negociação;2016-12-10;;
OP-00267;Tiago Martins;Solução Atlas Profissional;Orion Participações Ltda.;Ganha;2016-12-10;2017-03-22;4839
OP-00975;Amanda Azevedo;Módulo Horizonte Especial;Novaterra Telecom Ltda.;Ganha;2016-12-10;2017-03-25;47
OP-03377;Débora Medeiros;Solução Atlas Plus Essencial;Delta Sistemas Ltda.;Ganha;2016-12-10;2017-03-24;1007
OP-03280;Helena Menezes;Módulo Horizonte Especial;Pampas Comunicação Ltda.;Ganha;2016-12-10;2017-03-24;48
OP-03105;Mariana Lima;Módulo Horizonte Especial;Essência Tecnologia Ltda.;Ganha;2016-12-10;2017-03-07;49
OP-06156;Priscila Ramos;Solução Atlas Essencial;Boreal Varejo Ltda.;Ganha;2016-12-10;2017-03-18;504
OP-08719;Eduarda Nogueira;Módulo Horizonte Avançado;;Em negociação;2016-12-11;;
OP-05070;Larissa Santos;Módulo Horizonte Especial;;Em negociação;2016-12-11;;
OP-01304;Sofia Ishikawa;Solução Atlas Essencial;Atena Participações Ltda.;Ganha;2016-12-11;2017-03-21;543
OP-00249;Vanessa Pereira;Solução Atlas Plus Profissional;Delta Sistemas Ltda.;Perdida;2016-12-11;2017-03-18;0
OP-04618;Vanessa Pereira;Solução Atlas Profissional;Delta Sistemas Ltda.;Ganha;2016-12-11;2017-03-28;5149
OP-00637;William Silveira;Solução Atlas Essencial;Essência Tecnologia Ltda.;Perdida;2016-12-11;2017-03-09;0
OP-06419;Amanda Azevedo;Solução Atlas Plus Essencial;Orion Participações Ltda.;Ganha;2016-12-11;2017-03-11;1043
OP-01340;Eduarda Nogueira;Solução Atlas Plus Profissional;Vereda Sistemas Ltda.;Perdida;2016-12-12;2017-03-09;0
OP-06883;Rafael Ferreira;Solução Atlas Essencial;Safira Software Ltda.;Ganha;2016-12-12;2017-03-29;437
OP-02522;Juliana Esteves;Módulo Horizonte Avançado;;Em negociação;2016-12-12;;
OP-00380;Leonardo Henriques;Solução Atlas Profissional;União Indústria Ltda.;Ganha;2016-12-12;2017-03-11;4465
OP-05300;Nicolas Oliveira;Solução Atlas Essencial;Valência Consultoria Ltda.;Ganha;2016-12-12;2017-03-18;443
OP-07269;Priscila Ramos;Módulo Horizonte Especial;Vereda Sistemas Ltda.;Perdida;2016-12-12;2017-03-23;0
OP-03587;Isabela Farias;Solução Atlas Plus Profissional;Nexa Telecom Ltda.;Ganha;2016-12-13;2017-03-20;4278
OP-07844;Natália Correia;Módulo Horizonte Especial;União Indústria Ltda.;Ganha;2016-12-13;2017-03-06;41
OP-00934;Sofia Ishikawa;Solução Atlas Essencial;Quartzo Participações Ltda.;Ganha;2016-12-13;2017-03-28;519
OP-05196;Tiago Martins;Solução Atlas Profissional;;Em negociação;2016-12-13;;
OP-03148;Débora Medeiros;Solução Atlas Essencial;Tropical Saúde Ltda.;Ganha;2016-12-13;2017-03-04;524
OP-06044;Tatiana Castro;Solução Atlas Essencial;Quasar Serviços Ltda.;Ganha;2016-12-13;2017-03-27;552
OP-03736;Otávio Pinto;Solução Atlas Plus Essencial;Waypoint Software Ltda.;Ganha;2016-12-14;2017-03-02;970
OP-03643;Patrícia Campos;Módulo Horizonte Avançado;;Em negociação;2016-12-14;;
OP-04757;Vanessa Pereira;Solução Atlas Plus Essencial;Novaterra Telecom Ltda.;Em negociação;2016-12-14;;
OP-05322;Vanessa Pereira;Solução Atlas Plus Essencial;Metrópole Digital Ltda.;Ganha;2016-12-14;2017-03-13;1046
OP-05651;Vanessa Pereira;Solução Atlas Plus Essencial;Zafira Comunicação Ltda.;Ganha;2016-12-14;2017-03-14;988
OP-03019;William Silveira;Solução Atlas Essencial;Pioneira Consultoria Ltda.;Ganha;2016-12-14;2017-03-22;547
OP-04750;Amanda Azevedo;Solução Atlas Essencial;;Em negociação;2016-12-14;;
OP-05858;Débora Medeiros;Solução Atlas Profissional;Quasar Serviços Ltda.;Perdida;2016-12-14;2017-03-04;0
OP-01597;Mariana Lima;Módulo Horizonte Especial;Quartzo Participações Ltda.;Ganha;2016-12-14;2017-03-31;54
OP-07977;Priscila Ramos;Módulo Horizonte Especial;Paralela Logística Ltda.;Ganha;2016-12-14;2017-03-20;57
